"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-11-06 11:11:53",1762427513976,"bbtec-mdm.vercel.app/enrollment/qr-codes","POST","",200,"85nhj-1762427513849-8c0660b56eb8","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","master","","lambda","/enrollment/qr-codes","bbtec-mdm.vercel.app","bbtec-mdm.vercel.app","dpl_6eVfyGif4ZV6sQxCrJJFjnM9qKQS",180,"iad1",273,2048,"","prj_rguiJVZI4VkvBF55AppiKV8HqVTL","","","01K9CDVB3RWKDS51GQAEG95GFN","Ktfk3yWFTVBk",1
"2025-11-06 11:11:53",1762427513880,"bbtec-mdm.vercel.app/enrollment/qr-codes","POST","",200,"85nhj-1762427513849-8c0660b56eb8","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","master","","edge-middleware","/src/middleware","bbtec-mdm.vercel.app","bbtec-mdm.vercel.app","dpl_6eVfyGif4ZV6sQxCrJJFjnM9qKQS",-1,"fra1",-1,-1,"","prj_rguiJVZI4VkvBF55AppiKV8HqVTL","","","01K9CDVB0RXGKSTANZ8YM93K0S","aSC3hsbF5tYc",-1
"2025-11-06 11:11:48",1762427508959,"bbtec-mdm.vercel.app/enrollment/qr-codes","POST","",200,"hdsv5-1762427508846-4168f53f2afe","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","master","","lambda","/enrollment/qr-codes","bbtec-mdm.vercel.app","bbtec-mdm.vercel.app","dpl_6eVfyGif4ZV6sQxCrJJFjnM9qKQS",161,"iad1",273,2048,"","prj_rguiJVZI4VkvBF55AppiKV8HqVTL","","","01K9CDV66Z12E9XP41Z3SGFA9Q","Ktfk3yWFTVBk",1
"2025-11-06 11:11:48",1762427508865,"bbtec-mdm.vercel.app/enrollment/qr-codes","POST","",200,"hdsv5-1762427508846-4168f53f2afe","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","master","","edge-middleware","/src/middleware","bbtec-mdm.vercel.app","bbtec-mdm.vercel.app","dpl_6eVfyGif4ZV6sQxCrJJFjnM9qKQS",-1,"fra1",-1,-1,"","prj_rguiJVZI4VkvBF55AppiKV8HqVTL","","","01K9CDV642ESCG649RS51YMZND","aSC3hsbF5tYc",-1
"2025-11-06 11:11:42",1762427502980,"bbtec-mdm.vercel.app/enrollment/qr-codes","POST","",200,"dlmsn-1762427502861-5d2586034e54","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","master","","lambda","/enrollment/qr-codes","bbtec-mdm.vercel.app","bbtec-mdm.vercel.app","dpl_6eVfyGif4ZV6sQxCrJJFjnM9qKQS",152,"iad1",273,2048,"","prj_rguiJVZI4VkvBF55AppiKV8HqVTL","","","01K9CDV0C4G5GNVNX9G8CWBN6S","Ktfk3yWFTVBk",1
"2025-11-06 11:11:42",1762427502884,"bbtec-mdm.vercel.app/enrollment/qr-codes","POST","",200,"dlmsn-1762427502861-5d2586034e54","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","master","","edge-middleware","/src/middleware","bbtec-mdm.vercel.app","bbtec-mdm.vercel.app","dpl_6eVfyGif4ZV6sQxCrJJFjnM9qKQS",-1,"fra1",-1,-1,"","prj_rguiJVZI4VkvBF55AppiKV8HqVTL","","","01K9CDV094MGP55AG0W5FZNAPM","aSC3hsbF5tYc",-1
"2025-11-06 11:11:38",1762427498973,"bbtec-mdm.vercel.app/enrollment/qr-codes","POST","",200,"r9pkn-1762427498856-f78fac8fbda5","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","master","","lambda","/enrollment/qr-codes","bbtec-mdm.vercel.app","bbtec-mdm.vercel.app","dpl_6eVfyGif4ZV6sQxCrJJFjnM9qKQS",159,"iad1",273,2048,"","prj_rguiJVZI4VkvBF55AppiKV8HqVTL","","","01K9CDTWEXBZ0R0J96F27WNB7R","Ktfk3yWFTVBk",1
"2025-11-06 11:11:38",1762427498878,"bbtec-mdm.vercel.app/enrollment/qr-codes","POST","",200,"r9pkn-1762427498856-f78fac8fbda5","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","master","","edge-middleware","/src/middleware","bbtec-mdm.vercel.app","bbtec-mdm.vercel.app","dpl_6eVfyGif4ZV6sQxCrJJFjnM9qKQS",-1,"fra1",-1,-1,"","prj_rguiJVZI4VkvBF55AppiKV8HqVTL","","","01K9CDTWBY67RTQFQMFT25QPNP","aSC3hsbF5tYc",-1
"2025-11-06 11:11:32",1762427492981,"bbtec-mdm.vercel.app/enrollment/qr-codes","POST","",200,"r9pkn-1762427492861-437cf32e6297","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","master","","lambda","/enrollment/qr-codes","bbtec-mdm.vercel.app","bbtec-mdm.vercel.app","dpl_6eVfyGif4ZV6sQxCrJJFjnM9qKQS",148,"iad1",273,2048,"","prj_rguiJVZI4VkvBF55AppiKV8HqVTL","","","01K9CDTPKPZ5KAB6450HDB27G3","Ktfk3yWFTVBk",1
"2025-11-06 11:11:32",1762427492879,"bbtec-mdm.vercel.app/enrollment/qr-codes","POST","",200,"r9pkn-1762427492861-437cf32e6297","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","master","","edge-middleware","/src/middleware","bbtec-mdm.vercel.app","bbtec-mdm.vercel.app","dpl_6eVfyGif4ZV6sQxCrJJFjnM9qKQS",-1,"fra1",-1,-1,"","prj_rguiJVZI4VkvBF55AppiKV8HqVTL","","","01K9CDTPGFHKGQNWN2BTAB3J38","aSC3hsbF5tYc",-1
